Type;Administrator
ID;0
FirstName;First
LastName;Admin
Email;fa@app.com
Password;0
Type;Student
ID;1
FirstName;sc0
LastName;student0
Email;student0@app.com
Password;0
Type;Student
ID;2
FirstName;sc1
LastName;student1
Email;student1@app.com
Password;1
Type;Student
ID;3
FirstName;sc2
LastName;student2
Email;student2@app.com
Password;2
Type;Student
ID;4
FirstName;sc3
LastName;student3
Email;student3@app.com
Password;3
Type;Student
ID;5
FirstName;sc4
LastName;student4
Email;student4@app.com
Password;4
Type;Student
ID;6
FirstName;sc5
LastName;student5
Email;student5@app.com
Password;5
Type;Student
ID;7
FirstName;sc6
LastName;student6
Email;student6@app.com
Password;6
Type;Student
ID;8
FirstName;sc7
LastName;student7
Email;student7@app.com
Password;7
Type;Student
ID;9
FirstName;sc8
LastName;student8
Email;student8@app.com
Password;8
Type;Student
ID;10
FirstName;sc9
LastName;student9
Email;student9@app.com
Password;9
Type;Student
ID;11
FirstName;sc10
LastName;student10
Email;student10@app.com
Password;10
Type;Student
ID;12
FirstName;sc11
LastName;student11
Email;student11@app.com
Password;11
Type;Student
ID;13
FirstName;sc12
LastName;student12
Email;student12@app.com
Password;12
Type;Student
ID;14
FirstName;sc13
LastName;student13
Email;student13@app.com
Password;13
Type;Student
ID;15
FirstName;sc14
LastName;student14
Email;student14@app.com
Password;14
Type;Student
ID;16
FirstName;sc15
LastName;student15
Email;student15@app.com
Password;15
Type;Student
ID;17
FirstName;sc16
LastName;student16
Email;student16@app.com
Password;16
Type;Student
ID;18
FirstName;sc17
LastName;student17
Email;student17@app.com
Password;17
Type;Student
ID;19
FirstName;sc18
LastName;student18
Email;student18@app.com
Password;18
Type;Student
ID;20
FirstName;sc19
LastName;student19
Email;student19@app.com
Password;19
Type;Student
ID;21
FirstName;sc20
LastName;student20
Email;student20@app.com
Password;20
Type;Student
ID;22
FirstName;sc21
LastName;student21
Email;student21@app.com
Password;21
Type;Student
ID;23
FirstName;sc22
LastName;student22
Email;student22@app.com
Password;22
Type;Student
ID;24
FirstName;sc23
LastName;student23
Email;student23@app.com
Password;23
Type;Student
ID;25
FirstName;sc24
LastName;student24
Email;student24@app.com
Password;24
Type;Student
ID;26
FirstName;sc25
LastName;student25
Email;student25@app.com
Password;25
Type;Student
ID;27
FirstName;sc26
LastName;student26
Email;student26@app.com
Password;26
Type;Student
ID;28
FirstName;sc27
LastName;student27
Email;student27@app.com
Password;27
Type;Student
ID;29
FirstName;sc28
LastName;student28
Email;student28@app.com
Password;28
Type;Student
ID;30
FirstName;sc29
LastName;student29
Email;student29@app.com
Password;29
Type;Faculty
ID;31
FirstName;fc
LastName;faculty1
Email;faculty1@app.com
Password;0
Type;Faculty
ID;32
FirstName;fc
LastName;faculty2
Email;faculty1@app.com
Password;0
Type;Administrator
ID;33
FirstName;ad
LastName;adm2
Email;adm@app.com
Password;0
